lat4,lon4,month,sif4,lat3,lon3,sif3,lat2,lon2,sif2,lat1,lon1,sif1
21.25,70.25,2011-04,0.038929477,21.25,70.75,0.129088134,21.75,70.25,0.247876048,21.75,70.75,-0.062531233
21.25,70.25,2011-05,0.309024394,21.25,70.75,0.094503783,21.75,70.25,0.12646392,21.75,70.75,-0.215751097
21.25,70.25,2011-06,0.133396983,21.25,70.75,-0.009942648,21.75,70.25,0.146489471,21.75,70.75,0.215673029
21.25,70.25,2011-07,-0.303588331,21.25,70.75,0.174967676,21.75,70.25,-0.208989725,21.75,70.75,0.369933784
21.25,70.25,2011-08,0.286698967,21.25,70.75,0.128260195,21.75,70.25,0.458834618,21.75,70.75,-0.082059398
21.25,70.25,2011-09,0.116251655,21.25,70.75,-0.138496265,21.75,70.25,0.317274779,21.75,70.75,0.310305387
21.25,70.25,2011-10,-0.074570179,21.25,70.75,-0.099383123,21.75,70.25,0.298470944,21.75,70.75,0.239481822
21.25,70.25,2011-11,0.100025274,21.25,70.75,0.077889249,21.75,70.25,0.150695577,21.75,70.75,0.158594087
21.25,70.25,2011-12,0.053985249,21.25,70.75,-0.02412227,21.75,70.25,0.252147943,21.75,70.75,-0.042451158
21.25,70.25,2012-01,0.081614651,21.25,70.75,-0.175545111,21.75,70.25,-0.01394539,21.75,70.75,-0.120888814
21.25,70.25,2012-02,-0.174476385,21.25,70.75,0.201305568,21.75,70.25,-0.136193439,21.75,70.75,0.085317686
21.25,70.25,2012-03,0.037883122,21.25,70.75,0.041754484,21.75,70.25,-0.338910699,21.75,70.75,-0.049836475
21.25,70.25,2012-04,-0.117580198,21.25,70.75,0.293704331,21.75,70.25,-0.058178853,21.75,70.75,-0.076989703
21.25,70.25,2012-05,0.352886707,21.25,70.75,0.009782213,21.75,70.25,-0.004162469,21.75,70.75,-0.184393287
21.25,70.25,2012-06,0.239092916,21.25,70.75,0.163743258,21.75,70.25,0.143691406,21.75,70.75,-0.135593072
21.25,70.25,2012-07,-0.254981488,21.25,70.75,-0.274145603,21.75,70.25,0.785924017,21.75,70.75,0.335078418
21.25,70.25,2012-08,0.091693379,21.25,70.75,-0.08084777,21.75,70.25,0.540230215,21.75,70.75,0.111120135
21.25,70.25,2012-09,-0.25696364,21.25,70.75,0.44936654,21.75,70.25,-0.005565856,21.75,70.75,0.101861417
21.25,70.25,2012-10,0.091944851,21.25,70.75,0.10969802,21.75,70.25,0.06940385,21.75,70.75,0.163501278
21.25,70.25,2012-11,-0.116297513,21.25,70.75,-0.025176089,21.75,70.25,-0.282732427,21.75,70.75,0.085907891
21.25,70.25,2012-12,0.134420156,21.25,70.75,-0.1213983,21.75,70.25,0.009795104,21.75,70.75,0.003486703
21.25,70.25,2013-01,-0.043487817,21.25,70.75,0.104853392,21.75,70.25,0.068755984,21.75,70.75,-0.092281058
21.25,70.25,2013-02,0.055940561,21.25,70.75,0.243193239,21.75,70.25,-0.05275204,21.75,70.75,-0.017906709
21.25,70.25,2013-03,0.003996169,21.25,70.75,-0.16346167,21.75,70.25,-0.162250578,21.75,70.75,0.251127422
21.25,70.25,2013-04,0.103439845,21.25,70.75,0.119720004,21.75,70.25,-0.011822239,21.75,70.75,0.057096563
21.25,70.25,2013-05,0.006581435,21.25,70.75,-0.142936125,21.75,70.25,0.110217176,21.75,70.75,-0.005530049
21.25,70.25,2013-06,0.191961795,21.25,70.75,0.009738138,21.75,70.25,-0.398946315,21.75,70.75,0.391779453
21.25,70.25,2013-07,1.032485485,21.25,70.75,0.244157299,21.75,70.25,-0.356957108,21.75,70.75,0.095160306
21.25,70.25,2013-08,0.047421806,21.25,70.75,-0.201367021,21.75,70.25,0.795302868,21.75,70.75,-0.014275987
21.25,70.25,2013-09,0.153654099,21.25,70.75,0.087678432,21.75,70.25,0.311272025,21.75,70.75,0.316600561
21.25,70.25,2013-10,0.161763072,21.25,70.75,0.151913196,21.75,70.25,0.18668972,21.75,70.75,0.064499177
21.25,70.25,2013-11,0.065320827,21.25,70.75,-0.027676603,21.75,70.25,0.143328443,21.75,70.75,-0.001321271
21.25,70.25,2013-12,0.052811153,21.25,70.75,0.035685476,21.75,70.25,0.170307413,21.75,70.75,0.065211847
21.25,70.25,2014-01,0.057939935,21.25,70.75,0.082670741,21.75,70.25,0.199057668,21.75,70.75,0.237705544
21.25,70.25,2014-02,-0.045125268,21.25,70.75,-0.0464136,21.75,70.25,0.150953203,21.75,70.75,-0.071374498
21.25,70.25,2014-03,0.043084051,21.25,70.75,0.318574578,21.75,70.25,-0.003387276,21.75,70.75,0.082864471
21.25,70.25,2014-04,-0.035301186,21.25,70.75,0.058264852,21.75,70.25,0.253766268,21.75,70.75,-0.053616423
21.25,70.25,2014-05,-0.05724572,21.25,70.75,0.094822764,21.75,70.25,0.249050692,21.75,70.75,0.106529124
21.25,70.25,2014-06,-0.2954368,21.25,70.75,-0.264854103,21.75,70.25,-0.162266061,21.75,70.75,-0.077657849
21.25,70.25,2014-07,-0.028307857,21.25,70.75,-0.153568044,21.75,70.25,0.102769151,21.75,70.75,0.124274261
21.25,70.25,2014-08,-0.012100363,21.25,70.75,0.331113249,21.75,70.25,-0.196899965,21.75,70.75,0.916350782
21.25,70.25,2014-09,-0.033797756,21.25,70.75,-0.108552992,21.75,70.25,-0.158624977,21.75,70.75,0.055566065
21.25,70.25,2014-10,-0.123608761,21.25,70.75,-0.001834408,21.75,70.25,0.152024373,21.75,70.75,0.234089881
21.25,70.25,2014-11,0.071973093,21.25,70.75,-0.034464814,21.75,70.25,-0.27193895,21.75,70.75,-0.036073383
21.25,70.25,2014-12,-0.044583622,21.25,70.75,-0.078165546,21.75,70.25,0.225811779,21.75,70.75,0.119349912
21.25,70.25,2015-01,0.111261703,21.25,70.75,-0.080762096,21.75,70.25,0.268238246,21.75,70.75,0.022669528
21.25,70.25,2015-02,0.029517693,21.25,70.75,0.05230907,21.75,70.25,-0.129994065,21.75,70.75,0.066228248
21.25,70.25,2015-03,0.18674089,21.25,70.75,0.012124558,21.75,70.25,-0.253012985,21.75,70.75,-0.014792745
21.25,70.25,2015-04,0.190508276,21.25,70.75,0.055090599,21.75,70.25,-0.047075801,21.75,70.75,0.126044601
21.25,70.25,2015-05,-0.065215863,21.25,70.75,-0.110781699,21.75,70.25,0.047007196,21.75,70.75,-0.117981777
